Corresponding USGS gauge number,09072500,09095500,09109000,09124700,09127800,09152500,09180000,09180500,09211200,09217000,09234500,09251000,09260000,09302000,09306500,09315000,09328500,09355500,09379500,09380000,,09382000,09402000,09402500,09415000,09421500,09423000,09426000,09427520,09429490,,,,,,,,,,
USGS gauge name,"Colorado River At Glenwood Springs, CO","Colorado River Near Cameo, CO","Taylor River Below Taylor Park Reservoir, CO","Gunnision River Above Blue Mesa Reservoir,CO","Gunnison River At Crystal Reservoir,CO","Gunnison River Near Grand Junction, CO","Dolores River Near Cisco, UT",Colorado River Near Cisco UT,Green R Bel Fontenelle Res WY,"Green R. Nr Green River, WyY","Green River Near Greendale, UT","Yampa River Near Maybell, CO\","Little Snake River Near Lily, CO","Duchesne River Near Randlett, UT","White River Near Watson, UT","Green River At Green River, UT","San Rafael River Near Green River, UT","San Juan River Near Archuleta,NM","San Juan River Near Bluff, UT","Colorado R At Lees Ferry, AZ",,"Paria R At Lees Ferry, AZ","Little Colorado River Near Cameron, AZ","Colorado River Near Grand Canyon, AZ","Virgin River At Littlefield, AZ","Colorado River Below Hoover Dam, AZ-NV","Colorado River Below Davis Dam, AZ-NV","Bill Williams River Below Alamo Dam, AZ","Colorado River Below Parker Dam, AZ-CA","Colorado River Above Imperial Dam, AZ",,,,,,,,,,
,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),(ac-ft/month),,,,,,,,,,
Date,UpperColoradoReach.Inflow,ColoRAbv09095500:GainsAbvCameo.Local Inflow,TaylorRiver.Inflow,TaylorAboveBlueMesa:GainsAboveBlueMesa.Local Inflow,GunnisonRiverAboveCrystal:GainsAboveCrystal.Local Inflow,GunnisonRiverAboveGrandJunction:GainsGunnisonRiverAbvGrandJunction.Local Inflow,DoloresRiver.Inflow,GrandValleyReach:GainsAboveCisco.Local Inflow,GreenRAboveGage09211200.Inflow,Gage09211200ToGage09217000:GainsAbv09217000.Local Inflow,Gage09217000ToGage09234500:GainsAbv09234500.Local Inflow,YampaRAbv09251000.Inflow,LittleSnakeRAbv09260000.Inflow,DuchesneAbv09302000.Inflow,WhiteRiverAbv09306500.Inflow,GreenRAbvGage09315000:GainsAbvGreenRUtah.Local Inflow,SanRafaelRiver.Inflow,SJAboveNavajo.Inflow,SJBelowNavajo:GainsAboveBluff.Local Inflow,ColoradoRAbvPowell:GainsAboveLeesFerry.Local Inflow,,CoRivPowellToVirgin:PariaGains.LocalInflow,CoRivPowellToVirgin:LittleCoR.LocalInflow,CoRivPowellToVirgin:GainsAboveGC.LocalInflow,VirginRiver.Inflow,CoRivVirginToMead:GainsAboveHoover.LocalInflow,CoRivMeadToMohave:GainsAboveDavis.LocalInflow,CoRivMohaveToHavasu:BillWilliamsRiver.LocalInflow,CoRivMohaveToHavasu:GainsAboveParker.LocalInflow,AboveImperialDamColoradoR:GainsOnColoRAboveImperialDam.LocalInflow,,,,,,,,,,
5/76,"345,821","225,250","26,551","132,768","34,015","187,258","173,108","-63,785","330,757","6,797","132,403","316,046","152,449","121,517","91,086","-31,147","16,372","255,733","108,621","-57,758",,630,"9,729","22,368","9,051","18,472","16,630",23,"-18,086","-7,957",,,,,,,,,,
6/76,"444,211","310,798","34,497","159,287","28,469","144,145","120,094","-14,100","401,705","21,326","75,036","238,460","109,743","118,867","80,989","47,603","19,336","215,111","131,240","72,756",,205,0,"3,325","3,808","61,154","37,165","1,470","-52,106","-43,762",,,,,,,,,,
7/76,"235,465","155,639","14,931","62,809","6,579","76,692","39,713","-9,096","261,073","17,267","18,421","82,330","24,980","54,627","32,499","17,489","6,264","38,964","61,466","96,989",,434,"19,123","21,204","4,923","37,153","46,922","3,062","-61,369","-26,831",,,,,,,,,,
8/76,"134,333","90,718","8,841","49,001","5,074","49,171","28,232","-26,406","148,331","21,965","15,147","39,672","9,734","38,288","29,231","4,047","3,798","23,736","43,302","32,916",,277,"4,022","-1,861","4,629","-13,640","45,647","3,072","-50,622","-46,315",,,,,,,,,,
9/76,"85,839","66,251","6,683","24,905",744,"45,587","23,070","-23,879","63,563","12,279","9,160","18,428","3,297","27,633","21,143","-1,264","3,654","34,113","42,460","37,481",,371,"7,667","12,272","6,589","52,107","17,712","2,894","50,300","78,646",,,,,,,,,,
10/76,"72,033","66,041","5,909","24,249","6,360","47,888","15,026","-12,137","45,458","3,726","1,262","15,628","5,254","14,872","24,239",-498,"3,639","26,344","31,672","20,471",,518,509,"25,908","12,877","46,433","20,798","3,007","4,387","16,952",,,,,,,,,,
11/76,"49,457","50,757","3,942","18,326","8,334","34,351","8,216","-5,977","36,484",704,"3,329","11,863","3,956","17,066","20,601","12,046","2,552","11,346","21,795","44,059",,789,77,"4,449","6,766","-35,867","17,394","2,977","-7,139","3,573",,,,,,,,,,
12/76,"38,220","54,114","2,023","13,178","9,171","29,127","4,888","-15,094","27,560","-2,558","8,370","10,049","2,588","18,830","18,102","-1,536","2,186","12,233","12,187","16,846",,652,0,"17,754","7,087","-4,221","6,880","3,306","2,524","-4,088",,,,,,,,,,
1/77,"36,335","51,079","1,632","11,172","9,912","30,304","5,734","-19,725","25,624",-222,"7,925","9,549","2,466","21,501","19,847","20,487","2,354","15,010","10,757","38,279",,908,"3,332","19,561","8,755","26,468","6,333","1,676","19,471","-8,034",,,,,,,,,,
2/77,"35,480","41,940","1,668","14,432","4,665","25,807","8,394","-15,501","22,809","7,568","11,360","13,126","3,405","21,873","19,575","9,369","2,257","12,895","21,455","42,097",,972,560,"14,475","6,585","4,324","1,915","1,077","-3,402","-43,119",,,,,,,,,,
3/77,"44,752","36,616","1,694","18,279","2,643","24,239","8,675","-8,408","31,757","6,332","19,525","22,116","7,295","16,763","24,521","-6,879","2,975","16,160","12,946","-5,304",,559,29,"32,774","5,248","-33,366","13,655",966,"-8,428","-29,863",,,,,,,,,,
4/77,"92,735","44,961","7,421","36,215","10,121","-14,434","20,297","-42,485","47,113","6,176","35,002","54,241","24,527","13,644","25,155","-5,614","4,195","34,036","-3,018","-13,698",,389,"4,995","20,083","3,973","4,793","48,062","1,158","-30,267","-25,467",,,,,,,,,,
5/77,"196,791","95,311","13,970","35,997","10,712","15,074","25,371","-40,783","23,556","3,024","27,443","121,035","36,314","12,857","27,155","-2,421","6,312","40,906","3,780","-34,888",,468,3,"14,107","6,131","8,890","55,230",616,"-32,986","-13,489",,,,,,,,,,
6/77,"253,884","140,954","11,295","47,360","8,645","49,008","28,171","-17,926","108,793","5,189","19,006","105,569","25,352","45,020","24,261",384,"8,938","30,450","35,937","21,317",,351,0,"5,877","6,046","-33,248","62,079",276,"-48,698","-49,395",,,,,,,,,,
7/77,"105,330","68,533","5,144","25,424","5,428","53,846","34,118","1,100","67,992","9,729","25,873","22,837","10,435","27,780","17,820","31,700","6,490","32,151","71,595","43,176",,828,"16,440","23,115","7,176","-23,245","74,070",717,"-44,500","-63,765",,,,,,,,,,
8/77,"84,325","56,321","4,398","23,705","3,825","41,935","27,201","-14,970","56,202","8,304","24,441","20,340","5,518","20,895","20,531","28,225","4,687","49,112","81,530","55,704",,"1,339","36,163","29,738","6,736","-10,997","9,519",757,"8,153","29,247",,,,,,,,,,
9/77,"55,228","42,657","3,087","13,958","3,890","35,751","13,269","2,352","38,138","5,245","7,404","12,736","2,605","12,853","16,215","18,877","1,883","25,010","22,525","59,613",,507,"7,465","-9,321","4,060","32,467","6,098",817,"33,916","25,845",,,,,,,,,,
10/77,"62,449","40,780","3,924","16,794","5,800","23,869","14,781","-9,574","31,335","5,036","10,736","13,306","1,858","6,828","17,096","16,291",-962,"22,167","16,187","17,038",,767,"6,025","32,957","4,401","78,231","12,546",687,"20,799","3,324",,,,,,,,,,
11/77,"51,322","37,343","3,043","18,643","6,327","34,646","8,912","4,130","30,668","4,563","6,009","12,915","3,059","16,001","18,642","17,019",851,"14,481","22,079","17,896",,855,605,"-4,237","6,242","-4,639","-6,846",868,"23,906",-787,,,,,,,,,,
12/77,"50,413","37,262","3,086","17,192","4,917","23,840","6,865","-5,119","32,164","3,773",-495,"11,811","8,434","21,514","17,175","14,817","1,514","8,745","21,771","43,219",,"1,105",168,"-20,751","7,726","27,120","3,083",494,"26,007","8,151",,,,,,,,,,
1/78,"72,736","27,066","3,619","18,922","6,447","23,726","8,981",-420,"28,277","3,931","11,831","14,973","7,138","23,015","18,569","3,072","2,548","11,498","30,132","63,922",,"1,698",603,"-19,855","15,144","83,421","11,390",226,"34,313","8,614",,,,,,,,,,
2/78,"44,909","18,953","3,228","10,672","9,189","20,707","8,440","12,276","26,066","6,487","11,790","16,715","8,228","21,474","17,155","2,300","2,908","10,967","34,845","34,470",,"2,039","5,256","-17,134","21,529","78,494","-10,596",190,"10,463","-40,728",,,,,,,,,,
3/78,"60,471","32,029","3,426","26,940","11,572","27,139","22,284","29,371","48,388","17,565","37,747","35,814","31,626","34,020","28,283","40,182","7,408","63,582","68,471","20,405",,"5,081","115,164","-5,502","105,096","106,383","27,066","10,483","-33,919","-54,254",,,,,,,,,,
4/78,"114,769","72,179","6,756","75,190","27,409","87,840","246,858","-50,936","97,279","8,378","49,661","200,575","52,179","56,756","36,770","5,387","6,703","142,052","87,711","-41,378",,"1,932","47,072","-59,913","50,394","98,555","41,167","11,314","-11,932","-25,781",,,,,,,,,,
5/78,"366,872","204,313","19,325","172,642","56,822","272,376","278,040","19,518","187,355","11,238","107,698","407,362","167,138","110,673","97,727","-5,025","16,683","230,676","155,275","-136,745",,415,"2,285","-69,642","29,359","105,150","31,086","8,195","-29,757","-26,796",,,,,,,,,,
6/78,"828,156","513,752","51,553","350,956","91,773","307,481","208,911","91,187","516,651","12,807","177,152","551,613","198,047","246,786","185,830","26,312","66,115","270,184","213,333","-17,426",,196,202,"7,575","5,058","8,454","47,683",29,"-46,446","-54,370",,,,,,,,,,
7/78,"525,269","218,731","19,833","145,504","33,966","143,735","67,368","48,045","390,206","11,053","27,080","208,399","45,247","71,521","78,301","80,474","21,366","49,725","67,250","167,348",,309,0,"-4,852","4,038","18,128","84,260",19,"-61,860","-53,414",,,,,,,,,,
8/78,"206,604","72,960","7,267","48,396","5,812","50,551","29,147","-8,481","160,476","14,165","17,127","53,243","9,854","29,227","33,704","17,823","7,161",-10,"4,398","34,585",,336,243,"26,396","3,933","-38,815","24,613",39,"-22,166","-1,654",,,,,,,,,,
9/78,"81,582","39,111","2,024","15,908","3,043","35,629","10,949",245,"73,934","8,302","9,066","22,428","6,742","19,584","28,241","9,578","3,073","-4,424","11,428","34,341",,300,"1,212","44,504","3,638","11,748","37,885",50,"-26,720",-594,,,,,,,,,,
10/78,"69,584","25,018","2,314","18,964","1,016","14,504","8,674","27,297","45,775","3,536","3,343","14,330","3,938","11,758","23,873","22,922","1,839","6,588","19,742","17,692",,735,"7,341","14,595","5,050","65,007","27,657","3,537","5,948","19,249",,,,,,,,,,
11/78,"58,697","23,151","3,706","22,595",754,"39,998","13,827","42,810","37,821","3,452","1,115","15,562","3,628","25,750","23,614","32,978","13,771","27,702","49,596","47,050",,"6,500","35,922","7,878","12,409","18,777","22,538","10,883","-6,723","3,295",,,,,,,,,,
12/78,"59,304","26,808","4,732","18,531","1,869","42,332","7,011","14,106","33,513","3,392","-3,752","14,145","2,712","23,791","24,040","5,773","2,893","20,968","46,752","55,363",,819,"103,857","60,507","13,944","42,150","22,590","12,313","-8,764","2,408",,,,,,,,,,
1/79,"43,256","21,763","5,559","20,566","3,457","35,967","8,075","11,428","29,864","6,696",-449,"15,779","2,838","24,708","19,110","-3,730","3,253","19,513","65,451","56,833",,826,"15,410","22,382","12,290","29,613","25,461","5,790","15,027","11,111",,,,,,,,,,
2/79,"45,645","21,680","4,317","17,790","11,730","21,696","12,526","4,352","28,206","6,949","6,347","15,701","4,298","24,676","15,853","-38,336","5,687","21,057","104,468","70,786",,"2,838","45,366","36,132","18,004","70,848","26,753","23,339","-26,366","-34,567",,,,,,,,,,
3/79,"64,360","35,955","3,032","22,651","15,097","41,455","36,355","35,609","41,121","10,797","38,525","32,087","13,184","48,931","31,774","82,354","17,415","118,192","129,355","-10,266",,"13,285","78,575","21,792","37,103","66,953","15,731","34,721","-6,539","-45,392",,,,,,,,,,
4/79,"105,731","74,217","5,992","78,797","31,348","136,836","292,732","-2,767","89,917","12,363","54,108","167,432","54,446","65,024","44,127","83,247","11,842","370,768","298,682","-133,290",,"5,552","158,678","-5,572","75,068","36,806","21,732","11,362","-23,342","-30,209",,,,,,,,,,
5/79,"427,620","339,069","32,901","245,784","66,484","429,614","414,782","45,969","199,257","4,542","78,691","487,923","176,360","165,015","121,655","88,136","31,357","556,482","375,274","-311,487",,"2,408","21,945","60,242","95,885","21,249","23,862","24,010","-28,964","-23,502",,,,,,,,,,
6/79,"750,375","564,536","62,246","343,717","82,108","368,064","307,145","71,403","247,384","18,151","52,526","434,447","145,515","140,315","159,893","155,470","47,063","587,732","359,290","86,922",,655,"1,628","15,270","23,197","3,803","76,704","29,395","-77,936","-55,424",,,,,,,,,,
7/79,"504,647","301,966","29,825","166,649","21,382","155,634","113,968","39,268","137,839","15,782","16,324","146,397","32,087","60,294","73,201","69,366","14,389","277,503","138,292","157,385",,392,0,"-2,257","4,239","1,108","60,391","21,919","-36,441","-40,341",,,,,,,,,,
8/79,"204,186","102,667","12,874","66,369","4,994","64,783","44,523","18,740","106,881","16,419","22,307","45,846","10,145","48,293","39,335","43,484","11,947","64,558","54,631","57,938",,"1,577","3,986","9,471","7,791","26,691","-5,965","28,419","25,988","8,739",,,,,,,,,,
9/79,"91,077","52,455","3,766","25,429",375,"39,691","16,557","-4,647","47,045","8,518","4,520","17,437","3,999","16,844","23,485","14,342","3,313","2,197","12,493","18,655",,266,0,"22,563","3,919","34,631","37,426","20,154","-14,440","5,066",,,,,,,,,,
10/79,"79,663","37,718","3,957","23,728",114,"37,715","9,847","-13,509","37,553","2,998","6,169","13,316","8,188","23,520","25,831","7,674",833,"2,442","24,357","-2,410",,628,267,57,"5,675","-22,056","44,366","26,176","-3,670","12,666",,,,,,,,,,
11/79,"63,037","42,818","5,002","22,772","5,135","43,081","9,175","-1,251","27,696","3,075","4,091","18,546","6,240","21,715","25,263","10,606","4,869","14,939","23,934","41,735",,"1,529","1,870","8,045","10,175","35,120","-9,833","30,069","5,763","7,532",,,,,,,,,,
12/79,"62,134","43,596","4,192","21,186","7,611","39,511","8,451","-16,200","25,632","6,047","6,514","14,316","4,253","21,966","22,639","-5,637","3,968","22,265","25,951","28,309",,"1,474",388,"39,731","11,917","87,247","28,640","37,269","-28,280","-1,583",,,,,,,,,,
1/80,"68,106","31,159","4,641","20,883","10,027","42,165","13,201","-1,323","25,801","6,861","19,578","14,331","7,770","30,493","23,002","16,328","5,792","27,816","51,074","40,372",,"3,096","8,259","-15,700","36,766","38,826","28,414","14,031","-19,392",72,,,,,,,,,,
2/80,"64,462","39,289","5,523","20,494","10,614","34,312","17,285","-4,141","27,033","8,527","21,013","26,768","5,261","33,710","28,563","103,269","10,951","46,578","97,173","26,068",,"13,892","121,277","85,670","134,013","142,185","35,507","55,819","-32,262","-26,178",,,,,,,,,,
3/80,"60,797","47,084","5,139","22,184","10,646","33,887","19,370","-12,116","31,387","10,377","55,298","33,039","22,512","33,589","28,736","71,283","8,625","66,871","75,178","31,520",,"5,425","45,725","14,185","42,714","67,028","36,139","189,124","-61,591","-93,815",,,,,,,,,,
4/80,"87,898","88,547","3,418","77,688","21,248","104,776","226,284","-53,870","104,368","44,508","92,425","172,493","107,014","60,087","38,510","-46,696","10,010","265,200","201,947","-86,546",,"3,896","104,225","-6,488","56,257","32,474","40,537","33,442","-32,824","-29,678",,,,,,,,,,
5/80,"406,379","316,870","30,847","253,786","54,500","446,580","426,674","84,564","321,146","26,025","189,266","521,415","249,329","204,708","110,353","138,161","36,553","391,914","289,823","-130,625",,"2,279","36,849","3,040","91,345","57,437","40,937","44,217","-63,155","-15,343",,,,,,,,,,
6/80,"718,679","549,252","69,404","392,585","63,404","342,390","320,086","75,553","381,105","6,559","111,918","401,829","140,229","330,876","130,390","176,037","99,087","497,837","363,021",-899,,565,94,"-9,308","27,179","35,964","104,739","5,046","-115,846","-88,863",,,,,,,,,,
7/80,"399,658","220,237","23,872","136,697","16,239","127,492","99,812","34,565","253,625","22,542","41,066","106,506","28,736","100,147","54,355","79,806","28,299","118,969","100,571","39,769",,681,14,"-23,704","8,698","97,876","27,330","87,207","-8,770","-19,759",,,,,,,,,,
8/80,"151,796","79,749","7,347","49,894","3,153","50,136","43,142","8,037","98,755","13,289","20,243","38,071","5,889","39,981","34,389","5,636","11,402","26,598","17,529","-26,701",,"1,432","4,670","39,120","6,528","-32,417","23,894","56,098","-55,287","-36,059",,,,,,,,,,
9/80,"73,724","56,766","4,161","28,345","2,031","26,526","23,742","16,102","56,868","12,574","8,309","19,734","3,888","42,904","28,687","44,247","17,782","45,349","54,848","125,705",,"12,386","9,683","16,410","18,982","3,683","55,625","65,970","-39,265","-1,765",,,,,,,,,,
10/80,"62,357","48,804","3,772","25,605","10,934","3,630","13,410","27,329","40,857","7,224","13,210","15,965","6,919","26,311","27,513","19,057","7,274","10,195","21,384","-31,430",,"1,351",0,"-13,490","14,100","41,678","53,182","28,041","-49,138","-13,833",,,,,,,,,,
11/80,"57,524","36,964","4,362","23,637","8,996","37,925","11,358","12,568","37,079","5,038","11,199","14,720","8,985","27,107","26,333","40,474","6,294","25,311","20,616","4,561",,"1,392",0,"-12,560","16,171","58,382","58,949",720,"-57,457","-15,659",,,,,,,,,,
12/80,"53,582","33,154","4,900","22,552","9,324","36,191","10,550","3,910","33,893","6,949","10,824","12,706","5,756","33,241","25,177","33,100","4,652","20,859","17,432","39,042",,"1,619",8,"-18,824","16,665","68,126","49,856",585,"-44,757","16,999",,,,,,,,,,
1/81,"48,792","32,824","3,797","16,557","9,041","24,947","9,094","8,406","28,635","10,479","4,698","12,127","4,943","33,175","23,395","12,450","4,084","18,864","18,998","10,832",,"1,482",65,"-30,189","13,983","48,517","31,841",594,"-20,485","40,468",,,,,,,,,,
2/81,"36,307","28,207","2,616","16,311","7,873","7,805","7,849","14,930","26,377","9,120","8,380","14,783","7,996","26,296","19,495","22,490","4,202","16,550","17,828","30,700",,"1,224",73,"-25,555","13,696","68,863","24,377",539,"-32,540","-31,464",,,,,,,,,,
3/81,"37,473","32,405","3,621","21,174","8,822","9,145","11,474","6,446","41,614","8,258","23,581","23,432","15,294","21,293","22,907","19,558","5,239","21,287","23,569","48,559",,"1,817",47,"12,793","20,523","30,819","57,953",519,"-64,192","-35,438",,,,,,,,,,
4/81,"68,094","64,023","9,567","33,158","20,172","33,282","51,018","-7,820","44,035","5,173","36,235","68,884","37,638","28,975","37,538","30,026","9,898","78,607","21,440","11,443",,"1,105","1,822","5,939","24,958","6,486","50,307",475,"-51,131","-11,321",,,,,,,,,,
5/81,"182,343","128,287","13,719","54,772","18,710","81,381","74,799","13,251","76,506","11,564","67,453","191,437","99,399","43,120","51,496","-16,349","15,414","123,250","38,853","-26,374",,861,76,"-10,755","13,073","49,224","17,639","1,637","-16,867","-3,297",,,,,,,,,,
6/81,"346,990","279,410","19,938","107,651","23,485","111,886","91,289","21,733","262,659","11,158","69,104","208,190","77,079","116,675","72,055","104,223","19,593","159,397","120,656","79,154",,688,7,"-7,697","6,179","35,057","25,291","1,668","-43,969","-64,032",,,,,,,,,,
7/81,"217,756","113,395","8,998","55,768","11,001","66,832","63,214","15,435","139,702","10,012","19,409","55,757","11,947","20,469","40,650","44,643","9,467","51,594","95,770","42,672",,"2,723","20,828","-26,547","8,174","-6,552","60,242","14,908","-75,393","-38,269",,,,,,,,,,
8/81,"91,665","63,639","4,367","37,375","8,678","33,737","23,296","-4,604","62,173","11,067","6,744","30,493","8,177","-6,761","30,211","10,362","6,878","28,178","32,052","34,434",,"4,168","5,157","-6,549","9,533","92,923","67,470","19,604","-58,275","-16,749",,,,,,,,,,
9/81,"70,802","60,134","5,651","25,669","8,397","62,785","25,364","8,697","32,197","10,909","9,211","17,654","4,938","18,334","28,009","26,150","11,929","26,573","48,898","78,652",,"2,662","13,065",-455,"6,809","62,011","13,777","17,076","25,274","14,386",,,,,,,,,,
10/81,"61,238","55,457","5,323","22,442","6,500","52,056","31,225","12,453","34,616","5,135","3,366","21,417","16,463","32,970","30,226","63,964","7,009","79,030","61,741","71,625",,"3,023","26,009","24,422","11,468","18,979","11,514",835,"12,541","25,811",,,,,,,,,,
11/81,"44,038","41,370","4,647","21,504","6,799","45,759","15,259","18,172","30,652","3,814","6,979","17,565","9,399","25,910","26,049","30,025","4,511","34,633","30,531","21,167",,"1,458",33,"9,695","11,167","64,173","10,258",534,"8,939","5,901",,,,,,,,,,
12/81,"55,116","36,910","3,739","18,645","5,932","32,648","11,935","10,777","30,008",-796,"3,317","19,490","9,063","29,751","24,406","17,666","3,131","17,966","26,881","4,954",,"1,472","1,329","36,432","12,085","12,708","4,122",506,"-11,296","-12,960",,,,,,,,,,
1/82,"46,812","38,749","4,118","18,768",-354,"39,389","8,683","-9,273","30,592","3,506","5,327","19,797","8,003","35,320","27,335","-18,652","4,047","18,732","29,513","-6,287",,"1,291","3,288","23,665","14,303","19,442","-3,043",416,"6,044","-4,759",,,,,,,,,,
2/82,"38,237","24,191","2,986","15,484","8,237","28,359","12,038","7,297","27,043","11,170","18,104","22,763","7,311","37,950","29,326","-22,428","4,530","22,326","40,782","63,362",,"1,892","21,818","34,663","13,680","46,863","-10,655",494,"-9,534","-58,792",,,,,,,,,,
3/82,"57,184","35,954","3,246","24,244","13,118","41,324","21,979","10,253","37,486","12,613","23,596","46,629","17,837","37,310","29,123","56,607","4,747","84,605","49,430","76,636",,"1,807","71,117","5,244","22,132","21,856","4,212",841,"-25,341","-42,007",,,,,,,,,,
4/82,"69,490","65,765","6,819","54,734","22,195","102,537","141,954","6,439","76,570","12,088","35,778","150,012","50,304","33,366","35,878","-30,655","7,482","174,569","61,016","-14,135",,"1,367","32,307","11,232","21,086","13,125","5,581",626,"-2,249","-26,884",,,,,,,,,,
5/82,"324,972","241,415","23,096","172,093","52,277","302,779","225,859","12,595","252,260","8,269","124,913","431,951","204,916","182,378","105,622","36,895","26,670","305,251","127,662","32,149",,754,"3,152","22,792","22,034","55,836","39,218",708,"-32,345","-13,574",,,,,,,,,,
6/82,"633,579","456,191","48,587","283,404","63,517","269,454","191,324","60,176","438,223","-12,614","121,850","455,276","195,038","231,448","131,553","-3,320","70,065","299,045","201,683","70,840",,227,0,"12,447","5,722","11,097","37,030",732,"-25,171","-21,741",,,,,,,,,,
7/82,"505,828","287,668","28,854","143,949","25,815","139,825","96,987","63,845","515,208","20,538","62,244","208,415","69,486","89,869","83,822","103,711","26,535","102,212","112,644","66,203",,414,200,"28,423","5,885","14,991","54,627",714,"-58,567","-36,689",,,,,,,,,,
8/82,"233,615","129,705","13,891","95,957","12,468","96,387","80,618","15,790","236,583","18,969","39,009","60,272","16,182","36,122","39,722","60,919","18,011","89,070","166,435","112,719",,"3,720","42,486","1,834","14,342","34,161","50,663",630,"-9,811","5,425",,,,,,,,,,
9/82,"114,352","94,586","11,326","70,320","13,729","95,692","70,695","3,208","97,632","9,001","30,856","28,875","8,541","41,478","30,971","46,447","13,131","133,537","114,528","-9,877",,"1,380","25,837","26,693","11,266","53,995","33,235",660,"-18,687","-5,026",,,,,,,,,,
